timestamp_ist,platform,level,entity_name,old_status,new_status,action
2026-06-04T14:18:16+05:30,meta,campaign,META_BA_MULTI_SCALE_ABO_AppP_BFC-VOLUME_010626,Active,Inactive,PAUSED
2026-06-04T21:18:33+05:30,meta,campaign,META_BA_MULTI_SCALE_ABO_AppP_BFC-VOLUME_040626,Inactive,Active,STARTED
2026-06-04T21:18:38+05:30,meta,ad_set,MUMBAI_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-06-04T21:18:39+05:30,meta,ad_set,BHARAT_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-06-04T21:18:41+05:30,meta,ad_set,DEL_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Inactive,Active,STARTED
2026-06-05T21:21:18+05:30,meta,campaign,META_PR_MULTI_ABO_Aware_PM-AWARENESS_050626,Inactive,Active,STARTED
2026-06-05T21:21:30+05:30,meta,ad_set,BLR_ALL_TPLAY_GoPM_LEARNMORE_WEBSITE_ABO_PM-AWARENESS_MULTI_NA,Inactive,Active,STARTED
2026-06-05T21:21:30+05:30,meta,ad_set,DEL_ALL_TPLAY_GoPM_LEARNMORE_WEBSITE_ABO_PM-AWARENESS_MULTI_NA,Inactive,Active,STARTED
2026-06-05T21:21:30+05:30,meta,ad_set,MUMBAI_ALL_TPLAY_GoPM_LEARNMORE_WEBSITE_ABO_PM-AWARENESS_MULTI_NA,Inactive,Active,STARTED
2026-06-06T11:32:18+05:30,meta,ad_set,MUMBAI_ALL_PBFC_L1-L2-L3_BROAD_MULTI_APPSTORE_ABO_BFC-VOLUME_MULTI_NA,Active,Inactive,PAUSED
